timestamp,city,aqi,wind_speed,humidity
2025-03-19 05:01:50.643906+0700,Hà Nội,86,10.5 km/h,61%
2025-03-19 06:01:37.875636+0700,Hà Nội,139,9.5 km/h,62%
2025-03-19 07:04:45.106947+0700,Hà Nội,152,9.2 km/h,62%
2025-03-19 08:28:49.829497+0700,Hà Nội,153,9.7 km/h,62%
2025-03-19 09:26:51.163162+0700,Hà Nội,139,9.0 km/h,53%
2025-03-19 10:11:09.118498+0700,Hà Nội,91,15.6 km/h,38%
2025-03-19 11:01:38.269087+0700,Hà Nội,105,15.6 km/h,38%
2025-03-19 12:01:27.498502+0700,Hà Nội,73,16.6 km/h,34%
2025-03-19 13:01:47.287821+0700,Hà Nội,75,16.4 km/h,33%
2025-03-19 14:01:42.329603+0700,Hà Nội,79,17.7 km/h,33%
2025-03-19 15:01:49.463298+0700,Hà Nội,78,15.0 km/h,32%
2025-03-19 16:01:53.458799+0700,Hà Nội,84,13.0 km/h,32%
2025-03-19 17:01:46.863838+0700,Hà Nội,96,11.1 km/h,32%
2025-03-19 18:01:33.437769+0700,Hà Nội,99,10.9 km/h,33%
2025-03-19 19:01:52.959042+0700,Hà Nội,105,9.5 km/h,40%
2025-03-19 20:07:48.611938+0700,Hà Nội,122,10.8 km/h,42%
2025-03-19 21:01:53.832410+0700,Hà Nội,123,10.8 km/h,42%
2025-03-19 22:01:53.407786+0700,Hà Nội,135,10.9 km/h,44%
2025-03-19 23:01:50.970315+0700,Hà Nội,121,9.0 km/h,44%
2025-03-20 00:01:48.870451+0700,Hà Nội,124,7.6 km/h,47%
2025-03-20 01:01:56.177323+0700,Hà Nội,124,9.0 km/h,49%
2025-03-20 02:01:39.673219+0700,Hà Nội,119,9.8 km/h,50%
2025-03-20 04:01:37.981780+0700,Hà Nội,123,10.0 km/h,53%
2025-03-20 05:01:47.917857+0700,Hà Nội,137,10.3 km/h,54%
2025-03-20 06:01:53.375298+0700,Hà Nội,137,10.0 km/h,56%
2025-03-20 07:04:24.970276+0700,Hà Nội,137,10.3 km/h,58%
2025-03-20 08:28:43.870556+0700,Hà Nội,152,12.4 km/h,56%
2025-03-20 09:26:26.343558+0700,Hà Nội,152,12.4 km/h,51%
2025-03-20 10:10:16.933263+0700,Hà Nội,158,11.6 km/h,45%
2025-03-20 11:01:47.740632+0700,Hà Nội,151,11.6 km/h,45%
2025-03-20 12:01:42.320696+0700,Hà Nội,132,10.8 km/h,40%
2025-03-20 13:01:49.005442+0700,Hà Nội,107,9.2 km/h,35%
2025-03-20 14:01:34.864032+0700,Hà Nội,86,8.5 km/h,30%
2025-03-20 15:01:48.839725+0700,Hà Nội,81,8.5 km/h,29%
2025-03-20 16:01:55.723313+0700,Hà Nội,88,8.0 km/h,29%
2025-03-20 17:01:38.321220+0700,Hà Nội,90,7.4 km/h,29%
2025-03-20 18:01:30.952611+0700,Hà Nội,88,6.8 km/h,30%
2025-03-20 19:02:00.111658+0700,Hà Nội,107,9.7 km/h,37%
2025-03-20 20:07:13.008290+0700,Hà Nội,151,15.9 km/h,41%
2025-03-20 21:01:41.877446+0700,Hà Nội,170,15.9 km/h,41%
2025-03-20 22:01:53.933289+0700,Hà Nội,176,13.0 km/h,43%
2025-03-20 23:01:43.283393+0700,Hà Nội,176,10.6 km/h,46%
2025-03-21 00:01:44.478400+0700,Hà Nội,175,10.1 km/h,48%
2025-03-21 01:01:59.268216+0700,Hà Nội,178,10.0 km/h,51%
2025-03-21 02:01:25.205199+0700,Hà Nội,175,8.5 km/h,52%
2025-03-21 03:01:34.972109+0700,Hà Nội,174,6.4 km/h,51%
2025-03-21 04:01:36.809044+0700,Hà Nội,173,4.8 km/h,51%
2025-03-21 05:01:28.086663+0700,Hà Nội,185,3.7 km/h,51%
2025-03-21 06:01:35.887265+0700,Hà Nội,198,5.8 km/h,51%
2025-03-21 08:28:49.593260+0700,Hà Nội,219,5.8 km/h,43%
2025-03-21 09:27:24.773247+0700,Hà Nội,233,5.6 km/h,38%
2025-03-21 10:11:41.339450+0700,Hà Nội,199,6.4 km/h,33%
2025-03-21 11:01:35.961838+0700,Hà Nội,199,6.4 km/h,33%
2025-03-21 12:01:47.610935+0700,Hà Nội,188,7.9 km/h,30%
2025-03-21 13:02:44.637704+0700,Hà Nội,179,8.9 km/h,28%
2025-03-21 14:01:34.038990+0700,Hà Nội,180,9.7 km/h,27%
2025-03-21 15:01:55.701218+0700,Hà Nội,175,10.6 km/h,27%
2025-03-21 16:01:33.116542+0700,Hà Nội,167,11.7 km/h,27%
2025-03-21 17:01:33.039103+0700,Hà Nội,165,14.6 km/h,28%
2025-03-21 18:01:35.832858+0700,Hà Nội,173,21.1 km/h,33%
2025-03-21 19:01:56.651502+0700,Hà Nội,172,22.4 km/h,40%
2025-03-21 20:06:49.051057+0700,Hà Nội,176,18.5 km/h,43%
2025-03-21 21:01:36.551420+0700,Hà Nội,168,18.5 km/h,43%
2025-03-21 22:01:50.320064+0700,Hà Nội,160,15.9 km/h,48%
2025-03-21 23:01:42.900886+0700,Hà Nội,162,15.8 km/h,53%
2025-03-22 00:01:43.275264+0700,Hà Nội,164,14.6 km/h,56%
2025-03-22 01:01:49.013629+0700,Hà Nội,172,12.6 km/h,60%
2025-03-22 02:01:40.185396+0700,Hà Nội,177,9.8 km/h,63%
2025-03-22 03:01:41.464421+0700,Hà Nội,180,10.1 km/h,66%
2025-03-22 04:01:38.817086+0700,Hà Nội,183,10.0 km/h,69%
2025-03-22 05:01:44.427184+0700,Hà Nội,188,8.9 km/h,72%
2025-03-22 06:01:33.009822+0700,Hà Nội,194,8.9 km/h,73%
2025-03-22 07:04:36.058707+0700,Hà Nội,193,6.6 km/h,70%
2025-03-22 08:28:42.631196+0700,Hà Nội,215,8.0 km/h,59%
2025-03-22 10:11:13.883899+0700,Hà Nội,169,10.0 km/h,41%
2025-03-22 11:01:32.274048+0700,Hà Nội,168,10.0 km/h,41%
2025-03-22 12:01:44.115918+0700,Hà Nội,157,10.3 km/h,38%
